SampleID,project,sample_type,site_depth_mbss,deployment,core,horizon_depth_cmbsf,mean_horizon_depth,nucl_acid,pcr_replicate,extraction_replicate,gene
S1000m-GC08-C1-0cm5cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,0cm5cm,2.5,DNA,1,1,16S
S1000m-GC08-C1-10cm15cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,10cm15cm,12.5,DNA,1,1,16S
S1000m-GC08-C1-120cm125cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,120cm125cm,122.5,DNA,1,1,16S
S1000m-GC08-C1-153cm158cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,153cm158cm,155.5,DNA,1,1,16S
S1000m-GC08-C1-15cm20cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,15cm20cm,17.5,DNA,1,1,16S
S1000m-GC08-C1-175cm178cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,175cm178cm,176.5,DNA,1,1,16S
S1000m-GC08-C1-203cm208cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,203cm208cm,205.5,DNA,1,1,16S
S1000m-GC08-C1-20cm25cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,20cm25cm,22.5,DNA,1,1,16S
S1000m-GC08-C1-25cm30cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,25cm30cm,27.5,DNA,1,1,16S
S1000m-GC08-C1-25cm30cm-DNA-Rep2-OC03,OC1703A,Sample,1000,GC08,C1,25cm30cm,27.5,DNA,2,1,16S
S1000m-GC08-C1-57cm59cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,57cm59cm,58,DNA,1,1,16S
S1000m-GC08-C1-5cm10cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,5cm10cm,7.5,DNA,1,1,16S
S1000m-GC08-C1-85cm92cm-DNA-Rep1-OC03,OC1703A,Sample,1000,GC08,C1,85cm92cm,88.5,DNA,1,1,16S
S1500m-GC09-C1-0cm5cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,0cm5cm,2.5,DNA,1,1,16S
S1500m-GC09-C1-10cm15cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,10cm15cm,12.5,DNA,1,1,16S
S1500m-GC09-C1-120cm125cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,120cm125cm,122.5,DNA,1,1,16S
S1500m-GC09-C1-150cm155cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,150cm155cm,152.5,DNA,1,1,16S
S1500m-GC09-C1-15cm20cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,15cm20cm,17.5,DNA,1,1,16S
S1500m-GC09-C1-20cm25cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,20cm25cm,22.5,DNA,1,1,16S
S1500m-GC09-C1-25cm30cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,25cm30cm,27.5,DNA,1,1,16S
S1500m-GC09-C1-25cm30cm-DNA-Rep2-OC03,OC1703A,Sample,1500,GC09,C1,25cm30cm,27.5,DNA,2,1,16S
S1500m-GC09-C1-5cm10cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,5cm10cm,7.5,DNA,1,1,16S
S1500m-GC09-C1-60cm65cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,60cm65cm,62.5,DNA,1,1,16S
S1500m-GC09-C1-90cm95cm-DNA-Rep1-OC03,OC1703A,Sample,1500,GC09,C1,90cm95cm,92.5,DNA,1,1,16S
S3000m-GC11-C1-180cm185cm-DNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,180cm185cm,182.5,DNA,1,1,16S
S3000m-GC11-C1-180cm185cm-cDNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,180cm185cm,182.5,cDNA,1,1,16S
S3000m-GC11-C1-180cm185cm-cDNA-Rep2-OC03,OC1703A,Sample,3000,GC11,C1,180cm185cm,182.5,cDNA,2,1,16S
S3000m-GC11-C1-180cm185cm-DNA-Rep2-OC03,OC1703A,Sample,3000,GC11,C1,180cm185cm,182.5,DNA,2,1,16S
S3000m-GC11-C1-40cm45cm-DNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,40cm45cm,42.5,DNA,1,1,16S
S3000m-GC11-C1-40cm45cm-cDNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,40cm45cm,42.5,cDNA,1,1,16S
SS3000m-GC11-C1-40cm45cm-DNA-Rep2-OC03,OC1703A,Sample,3000,GC11,C1,40cm45cm,42.5,DNA,2,1,16S
S3000m-GC11-C1-80cm85cm-DNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,80cm85cm,82.5,DNA,1,1,16S
S3000m-GC11-C1-80cm85cm-cDNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,80cm85cm,82.5,cDNA,1,1,16S
S3000m-GC11-C1-80cm85cm-RNA-Rep1-OC03,OC1703A,Sample,3000,GC11,C1,80cm85cm,82.5,RNA,1,1,16S
S101m-MC01-C8-10cm15cm-DNA-Rep1-OC03,OC1703A,Sample,101,MC01,C8,10cm15cm,12.5,DNA,1,1,16S
S101m-MC01-C8-10cm15cm-cDNA-Rep1-OC03,OC1703A,Sample,101,MC01,C8,10cm15cm,12.5,cDNA,1,1,16S
S4500m-MC02-C5-20cm25cm-DNA-Rep1-OC03,OC1703A,Sample,4500,MC02,C5,20cm25cm,22.5,DNA,1,1,16S
S4500m-MC02-C5-20cm25cm-cDNA-Rep1-OC03,OC1703A,Sample,4500,MC02,C5,20cm25cm,22.5,cDNA,1,1,16S
S4000m-MC03-C6-20cm25cm-DNA-Rep1-OC03,OC1703A,Sample,4000,MC03,C6,20cm25cm,22.5,DNA,1,1,16S
S4000m-MC03-C6-20cm25cm-cDNA-Rep1-OC03,OC1703A,Sample,4000,MC03,C6,20cm25cm,22.5,cDNA,1,1,16S
S3500m-MC04-C2-5cm10cm-DNA-Rep1-OC03,OC1703A,Sample,3500,MC04,C2,5cm10cm,7.5,DNA,1,1,16S
S3500m-MC04-C2-5cm10cm-cDNA-Rep1-OC03,OC1703A,Sample,3500,MC04,C2,5cm10cm,7.5,cDNA,1,1,16S
S500m-MC06-C2-10cm15cm-DNA-Rep1-OC03,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,DNA,1,1,16S
S500m-MC06-C2-10cm15cm-cDNA-Rep1-OC03,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,cDNA,1,1,16S
S500m-MC06-C2-10cm15cm-DNA-Rep1-OC02OC03,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,DNA,1,1,16S
S500m-Mc06-C2-15cm20cm-DNA-Rep1-OC03,OC1703A,Sample,500,MC06,C2,15cm20cm,17.5,DNA,1,1,16S
S500m-MC06-C2-15cm20cm-cDNA-Rep1-OC03,OC1703A,Sample,500,MC06,C2,15cm20cm,17.5,cDNA,1,1,16S
S500m-Mc06-C2-15cm20cm-RNA-Rep1-OC03,OC1703A,Sample,500,MC06,C2,15cm20cm,17.5,RNA,1,1,16S
S2000m-MC10-C3-15cm20cm-DNA-Rep1-OC03,OC1703A,Sample,2000,MC10,C3,15cm20cm,17.5,DNA,1,1,16S
S2000m-MC10-C3-15cm20cm-cDNA-Rep1-OC03,OC1703A,Sample,2000,MC10,C3,15cm20cm,17.5,cDNA,1,1,16S
Mock-NA-NA-NA-16S-Rep3-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,3,NA,16S
Mock-NA-NA-NA-16S-Rep4-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,4,NA,16S
Mock-NA-NA-NA-16S-Rep5-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,5,NA,16S
Mock-NA-NA-NA-16Sn20-Rep1-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,1,NA,16S
Mock-NA-NA-NA-16Sn20-Rep2-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,2,NA,16S
Mock-NA-NA-NA-16Sn20-Rep3-OC03,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,3,NA,16S
NA-Negative-NA-NA-NA-Rep14-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,14,NA,16S
NA-Negative-NA-NA-NA-Rep15-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,15,NA,16S
NA-Negative-NA-NA-NA-Rep16-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,16,NA,16S
NA-Negative-NA-NA-DNA-Rep15-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,15,NA,16S
NA-Negative-NA-NA-DNA-Rep16-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,16,NA,16S
NA-Negative-NA-NA-DNA-Rep17-OC03,OC1703A,Blank,NA,NA,NA,NA,NA,NA,17,NA,16S
